Transaction_ID,Date,Year,Month,Time,Total_Purchases,Amount,Total_Amount,Product_Category,Product_Brand,Product_Type,Transaction,products
8640391,3/1/2023,2023,March,0:03:14,1,447.1635333,447.1635333,Grocery,Pepsi,Water,Purchase,Purified water
5395736,3/1/2023,2023,March,0:18:20,1,99.53213902,99.53213902,Electronics,Samsung,Tablet,Sale,Samsung Galaxy Tab
8710636,3/1/2023,2023,March,0:20:21,10,251.7821613,2517.821613,Electronics,Apple,Smartphone,Sale,OnePlus
5350780,3/1/2023,2023,March,0:44:11,7,300.5934906,2104.154434,Electronics,Whirepool,Fridge,Sale,Smart refrigerator
8377246,3/1/2023,2023,March,0:54:49,10,237.4575824,2374.575824,Grocery,Coca-Cola,Juice,Sale,Apple juice
9618292,3/1/2023,2023,March,0:57:29,6,273.2700546,1639.620327,Books,HarperCollins,Fiction,Sale,Horror
7547898,3/1/2023,2023,March,1:42:32,2,31.76355494,63.52710987,Grocery,Pepsi,Soft Drink,Sale,Lemon-lime soda
2489896,3/1/2023,2023,March,2:37:22,8,203.4041148,1627.232918,Electronics,Samsung,Smartphone,Sale,Samsung Galaxy
6651106,3/1/2023,2023,March,2:55:54,7,268.0364279,1876.254996,Grocery,Pepsi,Water,Sale,Alkaline water
6583684,3/1/2023,2023,March,3:58:48,1,390.795418,390.795418,Electronics,Samsung,Television,Sale,Plasma TV
9245079,3/1/2023,2023,March,4:07:56,7,102.8212893,719.7490248,Grocery,Pepsi,Soft Drink,Purchase,Cola
4322006,3/1/2023,2023,March,4:14:22,9,474.2474845,4268.227361,Electronics,Sony,Television,Sale,OLED TV
1819665,3/1/2023,2023,March,4:21:56,2,220.1298666,440.2597332,Electronics,Apple,Tablet,Sale,Acer Iconia Tab
6321747,3/1/2023,2023,March,4:48:04,3,11.17406195,33.52218586,Electronics,Whirepool,Fridge,Sale,Bottom-freezer refrigerator
8837215,3/1/2023,2023,March,5:30:17,2,371.2843278,742.5686556,Home Decor,IKEA,Furniture,Purchase,Coffee table
4115830,3/1/2023,2023,March,6:02:44,5,332.2354711,1661.177356,Electronics,Apple,Smartphone,Sale,iPhone
2774322,3/1/2023,2023,March,6:07:40,3,442.3142812,1326.942844,Electronics,Sony,Smartphone,Sale,iPhone
7930873,3/1/2023,2023,March,7:24:40,10,343.1129349,3431.129349,Books,Random House,Fiction,Sale,Romance
4945439,3/1/2023,2023,March,7:53:00,2,363.7456488,727.4912976,Electronics,Samsung,Tablet,Purchase,Samsung Galaxy Tab
3005211,3/1/2023,2023,March,8:02:17,5,330.8823764,1654.411882,Home Decor,Bed Bath & Beyond,Kitchen,Sale,Blender
1295370,3/1/2023,2023,March,8:44:32,2,221.8861329,443.7722658,Electronics,Sony,Headphones,Sale,In-ear headphones
9965141,3/1/2023,2023,March,9:01:12,2,455.2754686,910.5509373,Grocery,Coca-Cola,Water,Sale,Alkaline water
4748448,3/1/2023,2023,March,10:36:38,6,145.3823339,872.2940035,Electronics,Samsung,Television,Sale,Curved TV
6014248,3/1/2023,2023,March,10:46:21,4,396.3776949,1585.51078,Grocery,Pepsi,Water,Purchase,Sparkling water
